Actual,Predicted,Probability_Destroyed
1,1,0.9125
1,1,0.7155558053058053
1,1,0.7155558053058053
1,1,0.8725
0,1,0.7155558053058053
1,1,0.83
0,1,0.6978809523809524
1,0,0.2560650898808792
1,0,0.20166666666666663
0,0,0.2560650898808792
1,1,0.8031986624486622
1,1,0.6218809523809523
0,0,0.3011355311355312
1,1,0.66
1,0,0.2560650898808792
1,0,0.465547619047619
1,0,0.2560650898808792
0,0,0.2560650898808792
0,0,0.35056060606060596
1,0,0.2560650898808792
1,0,0.392
1,0,0.392
0,0,0.3428549783549784
1,0,0.4
1,0,0.392
1,0,0.4168232323232324
1,0,0.382
1,1,0.7155558053058053
0,0,0.3428549783549784
1,0,0.41
0,0,0.34
1,0,0.31915656565656564
0,0,0.23958889940468883
1,1,0.6535677100677099
1,1,0.6535677100677099
1,1,0.5738412698412698
1,1,0.5738412698412698
1,1,0.6305000000000001
1,0,0.382
0,1,0.6535677100677099
0,1,0.5012619047619046
0,0,0.35
1,0,0.21216666666666661
1,0,0.24566666666666662
0,0,0.29230219780219785
0,0,0.3612590187590187
0,1,0.556547619047619
1,0,0.49333333333333335
1,0,0.49333333333333335
1,0,0.23958889940468883
0,0,0.23958889940468883
1,1,0.64
1,1,0.58
1,1,0.865
1,1,0.835
1,1,0.835
1,1,0.835
1,1,0.865
1,1,0.865
0,1,0.835
0,1,0.865
0,1,0.9
1,0,0.23958889940468883
1,0,0.41
0,0,0.3073470418470418
0,0,0.3073470418470418
0,1,0.7777777777777777
1,1,0.6419642857142857
1,1,0.6419642857142857
1,1,0.7652222222222221
1,1,0.7652222222222221
0,1,0.7087264402264399
1,1,0.56625
1,0,0.1904666050323945
1,0,0.364
0,1,0.7058888888888888
0,1,0.7087264402264399
1,1,0.7087264402264399
0,1,0.725
1,1,0.7087264402264399
1,0,0.364
1,0,0.37200000000000005
1,1,0.7087264402264399
1,0,0.49
0,0,0.49
